provinsi,gmv_transaksi_juta,volume_transaksi_tahunan,proporsi_e_commerce_pct,infrastruktur_digital_score,rasio_pembayaran_digital,frekuensi_pengiriman_logistik,omset_dilaporkan_spt_juta,pajak_disetor_juta,target_compliance_risk
Jawa Timur,23.45,142,38.04,87.81,0.693,144,10.63,0.05,0
DKI Jakarta,175.09,155,26.83,72.84,0.905,153,165.59,0.83,0
Sumatera Selatan,38.39,129,37.38,88.55,0.646,108,29.08,0.15,0
Jawa Timur,14.07,133,5.0,53.39,0.958,127,12.35,0.06,0
Riau,265.89,124,34.61,95.15,0.951,103,127.74,0.64,0
Banten,46.65,119,48.12,59.09,0.722,97,23.36,0.12,0
Jawa Timur,11.22,127,42.23,90.99,0.621,137,10.89,0.05,0
Bali,189.36,127,38.58,74.24,0.643,124,133.21,0.67,0
DKI Jakarta,121.89,130,42.79,55.13,0.682,104,72.2,0.36,0
Sumatera Selatan,151.72,136,48.24,67.63,0.369,127,111.86,0.56,0
Sumatera Selatan,318.04,131,52.1,95.0,0.822,116,204.02,1.02,0
Jawa Timur,40.37,141,40.37,90.9,0.553,119,41.7,0.21,0
Jawa Tengah,52.47,137,31.21,85.39,0.785,143,27.71,0.14,0
DKI Jakarta,216.23,129,7.24,68.61,0.936,109,160.99,0.8,0
Sulawesi Selatan,77.94,107,46.74,78.85,0.746,90,48.02,0.24,0
Sulawesi Selatan,54.13,129,41.18,61.37,0.549,112,27.46,0.14,1
Jawa Tengah,261.28,140,36.83,81.74,0.829,141,220.25,1.1,1
DKI Jakarta,74.82,120,26.74,62.79,0.859,102,36.59,0.18,1
Jawa Barat,72.5,140,46.58,90.62,0.708,125,41.94,0.21,1
DKI Jakarta,449.03,112,31.91,84.52,0.891,119,321.86,1.61,0
Bali,12.51,136,34.59,68.92,0.92,131,8.45,0.04,0
Bali,460.6,138,34.33,82.31,0.563,117,456.85,2.28,1
Jawa Barat,70.52,135,40.4,65.93,0.366,142,58.05,0.29,0
Sumatera Selatan,500.73,138,21.22,57.63,0.709,131,222.89,1.11,1
Jawa Barat,30.78,107,41.75,61.52,0.601,112,15.18,0.08,1
Jawa Timur,138.69,149,26.35,63.31,0.807,122,108.33,0.54,0
Sumatera Utara,211.29,146,26.77,61.1,0.824,123,115.48,0.58,1
Sumatera Selatan,218.79,132,45.62,83.24,0.545,109,115.35,0.58,1
Bali,24.39,136,23.06,86.24,0.671,128,25.41,0.13,0
DKI Jakarta,23.61,131,45.6,72.4,0.755,120,20.33,0.1,0
Jawa Barat,155.06,128,36.22,98.4,0.733,118,92.51,0.46,1
Jawa Tengah,24.36,126,15.22,93.66,0.601,114,10.19,0.05,0
Jawa Timur,251.64,128,51.37,54.27,0.501,118,230.71,1.15,0
Sulawesi Selatan,291.78,123,38.72,72.56,0.631,112,226.19,1.13,1
Sumatera Selatan,32.95,137,39.73,94.52,0.446,116,19.85,0.1,0
Jawa Timur,229.88,117,47.09,60.79,0.798,113,170.75,0.85,0
Sulawesi Selatan,17.48,122,52.99,68.54,0.196,129,17.18,0.09,0
Banten,480.93,132,37.41,96.4,0.892,144,212.2,1.06,1
Sumatera Utara,120.62,130,42.41,88.03,0.743,108,105.64,0.53,0
Banten,207.55,151,39.45,90.78,0.848,139,199.41,1.0,0
Jawa Barat,205.49,137,30.89,93.09,0.964,119,151.72,0.76,0
Sulawesi Selatan,170.67,138,16.0,58.39,0.916,133,174.87,0.87,0
DKI Jakarta,143.78,148,37.58,84.26,0.911,134,79.16,0.4,0
Jawa Barat,14.28,121,51.55,89.34,0.884,128,12.4,0.06,0
Jawa Tengah,311.46,140,42.0,61.1,0.755,151,210.6,1.05,0
Jawa Tengah,148.38,138,22.19,52.12,0.863,123,95.91,0.48,0
Jawa Barat,52.97,138,48.17,58.74,0.484,125,43.09,0.22,0
DKI Jakarta,73.43,135,31.29,86.33,0.665,129,58.46,0.29,0
Riau,77.37,146,9.9,84.02,0.745,144,49.41,0.25,0
Sulawesi Selatan,20.01,117,47.21,93.69,0.827,120,12.89,0.06,0
Jawa Barat,41.31,124,23.66,65.53,0.509,102,29.41,0.15,0
Jawa Tengah,13.04,144,56.37,80.47,0.868,117,13.63,0.07,0
Sumatera Utara,144.24,126,48.77,51.31,0.579,126,132.56,0.66,0
Sulawesi Selatan,90.51,132,32.27,95.82,0.529,124,57.75,0.29,0
Riau,489.52,127,40.51,77.17,0.764,127,311.37,1.56,1
Sumatera Selatan,50.69,116,64.09,86.67,0.835,103,49.82,0.25,0
Sumatera Utara,138.64,133,47.0,63.91,0.713,113,125.68,0.63,0
Banten,20.36,127,37.86,54.02,0.717,105,16.79,0.08,0
Jawa Barat,64.03,129,69.67,53.08,0.651,133,55.33,0.28,0
Bali,152.02,103,36.41,89.92,0.92,94,66.44,0.33,1
Bali,464.53,127,41.98,57.45,0.279,104,213.78,1.07,1
DKI Jakarta,500.32,118,23.77,90.38,0.709,103,302.81,1.51,1
Sumatera Selatan,17.48,139,14.9,63.0,0.766,147,12.36,0.06,0
DKI Jakarta,155.79,109,31.55,76.52,0.679,102,134.32,0.67,0
Sumatera Selatan,47.91,132,35.46,62.83,0.689,139,43.52,0.22,0
Bali,323.67,140,38.95,52.45,0.853,151,315.61,1.58,0
Jawa Barat,210.79,127,17.96,76.57,0.788,104,121.44,0.61,0
Banten,45.29,128,42.93,67.99,0.779,138,40.13,0.2,0
Jawa Barat,83.84,133,25.04,71.32,0.73,121,87.74,0.44,0
Sumatera Utara,11.18,131,42.3,79.48,0.548,132,5.98,0.03,0
Sulawesi Selatan,87.97,124,46.22,65.37,0.925,114,39.18,0.2,0
DKI Jakarta,128.47,127,30.25,77.63,0.62,125,126.25,0.63,0
Jawa Timur,106.86,136,23.43,82.23,0.755,136,52.11,0.26,0
Sulawesi Selatan,204.95,137,53.52,54.39,0.921,115,177.87,0.89,0
Jawa Timur,32.15,139,45.47,67.15,0.731,129,20.96,0.1,0
Jawa Barat,273.93,129,36.82,54.41,0.861,111,172.88,0.86,0
Banten,80.93,145,52.62,50.34,0.752,121,81.85,0.41,0
Sumatera Utara,83.88,133,36.0,52.51,0.773,130,52.69,0.26,0
Riau,62.86,129,27.55,79.02,0.545,129,41.8,0.21,0
Jawa Timur,236.34,144,22.98,54.13,0.297,126,96.95,0.48,1
Sulawesi Selatan,87.16,123,33.71,92.56,0.222,98,45.26,0.23,1
Sumatera Utara,65.59,120,44.26,87.21,0.734,130,41.65,0.21,0
Jawa Tengah,160.79,121,51.68,50.43,0.618,114,133.92,0.67,0
Sulawesi Selatan,162.3,115,35.28,78.09,0.504,114,71.66,0.36,1
Sulawesi Selatan,69.73,137,49.56,50.5,0.815,112,43.73,0.22,0
Banten,298.42,129,32.43,55.35,0.917,127,190.22,0.95,0
DKI Jakarta,82.06,113,25.62,98.42,0.881,116,75.02,0.38,0
Sumatera Utara,204.74,140,19.32,72.39,0.716,113,118.49,0.59,0
Sumatera Utara,62.42,120,28.93,51.33,0.528,114,61.15,0.31,0
Jawa Barat,238.22,142,19.78,91.67,0.737,119,241.45,1.21,0
Riau,231.95,123,59.11,94.95,0.837,103,126.19,0.63,1
Bali,199.34,124,40.27,76.87,0.914,122,128.69,0.64,0
Jawa Barat,249.77,123,33.85,84.59,0.801,121,218.99,1.09,0
Sumatera Selatan,138.47,137,55.66,88.23,0.719,132,79.57,0.4,0
Jawa Barat,40.62,143,19.37,86.0,0.582,136,38.05,0.19,0
Sumatera Selatan,116.86,145,33.35,74.23,0.904,136,120.72,0.6,0
Banten,45.52,140,59.0,90.8,0.766,132,36.89,0.18,0
DKI Jakarta,153.86,135,33.27,75.84,0.761,121,77.67,0.39,1
Sulawesi Selatan,27.75,135,64.36,62.72,0.769,118,11.14,0.06,1
Jawa Barat,136.48,129,44.43,50.2,0.447,113,90.95,0.45,1
Sumatera Utara,33.62,125,50.67,67.57,0.818,134,18.4,0.09,0
Jawa Barat,143.13,122,51.02,54.05,0.812,107,129.25,0.65,0
Sulawesi Selatan,624.68,134,35.02,53.1,0.923,122,440.63,2.2,0
Sumatera Selatan,182.18,147,29.14,72.99,0.866,139,147.74,0.74,0
Bali,65.06,126,33.61,96.24,0.176,128,51.67,0.26,0
Banten,50.87,142,23.16,55.17,0.942,146,21.55,0.11,0
Banten,91.12,148,34.21,63.41,0.888,150,78.38,0.39,0
Riau,117.28,129,34.95,90.67,0.815,114,109.86,0.55,0
Sumatera Selatan,149.49,140,55.27,69.69,0.723,118,105.58,0.53,0
Bali,53.65,147,42.12,87.18,0.87,153,41.76,0.21,0
DKI Jakarta,160.51,159,63.35,76.57,0.783,168,79.21,0.4,1
Riau,37.45,157,9.09,79.59,0.709,168,31.02,0.16,0
Jawa Barat,399.93,134,20.4,57.9,0.958,141,404.24,2.02,0
Jawa Tengah,206.64,134,30.74,67.26,0.903,121,178.28,0.89,0
Bali,107.2,113,52.91,80.47,0.668,95,43.89,0.22,0
Jawa Tengah,181.82,140,33.69,51.31,0.755,140,109.3,0.55,1
Sumatera Selatan,35.43,138,17.39,59.23,0.355,137,36.14,0.18,0
Banten,303.35,118,32.06,68.94,0.624,103,253.1,1.27,0
Jawa Tengah,357.18,135,20.63,83.06,0.609,133,218.26,1.09,1
Jawa Timur,42.38,135,18.28,74.97,0.785,148,33.5,0.17,0
Sumatera Utara,15.76,135,58.99,85.22,0.688,114,7.98,0.04,1
Sumatera Selatan,75.7,119,30.78,85.62,0.727,108,75.77,0.38,0
Riau,176.06,135,37.08,51.52,0.819,123,115.05,0.58,0
Sulawesi Selatan,547.34,121,33.88,94.18,0.979,104,287.28,1.44,1
Bali,71.09,159,31.98,90.39,0.601,164,31.9,0.16,1
Sumatera Selatan,69.83,122,24.91,63.28,0.738,123,29.52,0.15,0
Riau,29.09,128,31.27,73.74,0.758,110,23.84,0.12,0
Jawa Tengah,312.79,135,39.05,65.1,0.82,142,263.66,1.32,0
Banten,477.44,131,52.02,94.43,0.739,121,395.35,1.98,1
Jawa Barat,20.82,129,46.37,68.76,0.734,124,12.58,0.06,0
Jawa Timur,24.21,137,20.37,69.41,0.825,137,22.16,0.11,0
Sulawesi Selatan,55.6,147,46.86,94.68,0.398,156,52.6,0.26,0
Banten,344.25,141,40.71,79.43,0.738,122,272.64,1.36,0
Jawa Barat,731.37,125,27.5,56.76,0.518,122,585.15,2.93,1
Riau,75.29,138,37.19,80.67,0.847,138,39.53,0.2,1
Sulawesi Selatan,219.67,132,41.87,88.93,0.571,140,210.4,1.05,0
Bali,144.18,154,35.56,66.55,0.564,158,65.6,0.33,1
Jawa Tengah,46.47,119,40.76,75.82,0.741,127,42.83,0.21,0
Banten,128.97,135,24.64,80.72,0.555,111,86.69,0.43,0
Sumatera Utara,446.64,139,58.91,75.01,0.507,128,207.15,1.04,1
Jawa Tengah,224.73,123,11.85,98.96,0.369,109,98.86,0.49,1
Jawa Tengah,235.35,117,41.93,74.83,0.774,111,245.36,1.23,0
Jawa Tengah,215.43,125,39.4,81.53,0.885,130,165.85,0.83,0
Sulawesi Selatan,32.63,120,42.72,88.89,0.981,113,22.48,0.11,0
Sumatera Selatan,116.65,149,26.5,56.69,0.546,120,116.83,0.58,0
Bali,184.45,127,49.03,52.15,0.844,127,129.29,0.65,0
Bali,122.92,123,33.7,97.68,0.6,98,116.84,0.58,0
Sulawesi Selatan,11.61,143,20.77,85.88,0.41,118,11.09,0.06,0
Jawa Barat,24.08,123,21.86,69.27,0.752,125,21.37,0.11,0
Bali,361.89,132,36.5,50.87,0.925,138,167.13,0.84,0
DKI Jakarta,222.71,129,15.84,58.15,0.427,115,227.28,1.14,0
Banten,213.2,124,56.61,50.48,0.698,120,172.21,0.86,1
Sumatera Utara,333.91,122,47.59,69.43,0.601,117,222.22,1.11,1
Jawa Timur,191.9,140,56.92,77.19,0.781,114,172.37,0.86,0
Jawa Barat,578.24,140,55.66,57.87,0.893,134,259.08,1.3,0
Jawa Barat,362.96,127,30.78,81.35,0.706,102,187.29,0.94,1
Bali,57.58,131,24.57,96.76,0.749,137,48.39,0.24,0
Jawa Timur,71.9,161,5.0,98.53,0.697,164,58.18,0.29,0
Jawa Timur,121.61,127,30.13,90.83,0.834,112,90.1,0.45,0
Sulawesi Selatan,56.27,125,56.19,71.75,0.918,109,47.18,0.24,0
Jawa Barat,303.44,159,25.07,76.82,0.383,136,308.73,1.54,0
Sulawesi Selatan,38.94,153,32.48,74.66,0.419,166,18.87,0.09,1
Sulawesi Selatan,143.64,117,28.35,57.63,0.641,123,89.46,0.45,0
Sumatera Utara,215.1,141,39.5,91.87,0.918,148,127.07,0.64,0
Jawa Barat,144.05,138,50.43,83.11,0.925,129,145.18,0.73,0
Jawa Barat,54.25,139,16.53,81.26,0.839,145,28.3,0.14,0
Jawa Tengah,112.82,119,18.83,60.8,0.323,116,72.1,0.36,1
Sumatera Utara,33.07,132,52.84,57.5,0.73,117,32.7,0.16,0
Jawa Barat,119.49,128,43.8,92.78,0.79,118,99.84,0.5,0
Banten,131.35,137,31.89,58.79,0.716,126,55.2,0.28,1
Jawa Barat,114.4,136,55.48,53.61,0.882,123,117.16,0.59,0
Sumatera Utara,128.37,128,18.62,80.65,0.511,111,56.37,0.28,1
DKI Jakarta,52.3,134,46.17,84.51,0.609,123,38.66,0.19,1
Sumatera Selatan,516.58,120,34.18,55.86,0.185,117,287.94,1.44,1
DKI Jakarta,203.86,126,42.28,60.14,0.425,108,165.27,0.83,0
Jawa Barat,155.48,133,6.35,88.65,0.747,112,90.86,0.45,1
Jawa Barat,172.64,128,31.87,95.55,0.894,128,160.8,0.8,0
Bali,81.66,109,43.84,73.35,0.841,104,62.66,0.31,0
DKI Jakarta,397.43,113,34.24,88.81,0.836,102,239.81,1.2,0
Banten,32.92,151,50.06,65.65,0.751,161,31.69,0.16,0
Sumatera Utara,16.4,136,49.66,84.46,0.555,127,14.85,0.07,0
Sumatera Utara,176.79,134,23.5,77.3,0.724,120,127.38,0.64,0
Riau,140.62,144,44.89,91.32,0.897,124,101.15,0.51,0
Bali,69.35,140,23.09,88.02,0.92,125,48.83,0.24,0
Jawa Timur,604.42,172,35.65,63.92,0.735,151,453.95,2.27,1
Bali,196.88,128,42.87,57.32,0.882,135,188.58,0.94,0
Jawa Timur,118.48,120,24.98,89.58,0.76,128,53.07,0.27,1
Sulawesi Selatan,245.04,128,44.44,51.61,0.692,118,159.88,0.8,0
Sumatera Utara,36.53,153,28.94,83.27,0.638,134,32.42,0.16,0
Sumatera Selatan,72.55,131,28.03,73.32,0.766,109,74.48,0.37,0
Bali,43.4,137,43.48,53.69,0.833,139,21.68,0.11,0
Sumatera Selatan,45.3,123,24.97,83.74,0.902,130,19.4,0.1,0
Bali,236.42,98,24.36,73.66,0.875,90,218.29,1.09,0
Sumatera Utara,104.88,139,47.49,92.14,0.851,147,108.1,0.54,0
DKI Jakarta,133.07,133,36.3,60.22,0.745,116,115.04,0.58,0
Banten,65.75,138,17.55,50.11,0.895,135,49.98,0.25,0
Jawa Barat,29.77,145,45.27,56.39,0.693,119,16.43,0.08,1
Bali,55.27,128,30.12,63.21,0.757,124,56.54,0.28,0
Jawa Tengah,56.86,143,18.16,81.96,0.369,141,49.44,0.25,1
Jawa Tengah,151.27,131,5.0,67.77,0.763,130,128.75,0.64,0
Jawa Tengah,205.39,133,45.84,55.79,0.794,137,199.9,1.0,0
Riau,636.55,144,24.68,98.1,0.711,119,616.93,3.08,1
Sumatera Utara,344.87,113,20.07,55.3,0.639,99,156.03,0.78,1
Sulawesi Selatan,695.13,151,42.67,67.4,0.753,152,287.07,1.44,1
Banten,241.75,148,44.67,92.95,0.822,144,131.7,0.66,1
Jawa Tengah,11.66,125,25.55,81.98,0.281,135,11.57,0.06,0
DKI Jakarta,27.36,134,45.95,65.67,0.771,138,20.44,0.1,0
DKI Jakarta,146.03,105,59.66,97.55,0.615,98,119.88,0.6,0
Jawa Timur,113.94,118,51.16,74.55,0.85,113,71.2,0.36,0
Sulawesi Selatan,47.36,135,49.29,50.4,0.814,134,32.02,0.16,0
Sumatera Utara,48.96,111,38.77,50.3,0.758,89,29.13,0.15,0
Bali,212.62,129,29.68,96.11,0.407,117,215.01,1.08,0
Jawa Barat,76.57,135,34.33,63.78,0.86,112,51.14,0.26,0
DKI Jakarta,217.53,142,40.29,89.79,0.512,123,205.2,1.03,0
Bali,196.47,152,19.91,52.13,0.78,159,98.44,0.49,1
Jawa Barat,86.97,144,25.77,57.2,0.815,138,52.72,0.26,0
DKI Jakarta,127.1,150,17.87,91.98,0.719,158,65.83,0.33,1
Banten,66.61,142,37.82,98.71,0.959,151,39.35,0.2,0
Sulawesi Selatan,152.63,135,36.0,52.54,0.788,140,127.28,0.64,0
Riau,403.71,135,27.17,58.21,0.893,138,198.6,0.99,0
DKI Jakarta,235.16,127,44.85,85.42,0.597,107,175.99,0.88,1
Bali,160.2,126,22.46,75.95,0.82,110,64.41,0.32,0
Bali,217.95,138,26.72,69.89,0.439,139,226.45,1.13,0
Bali,91.75,117,44.37,59.53,0.357,104,38.82,0.19,1
Sulawesi Selatan,90.95,138,46.15,96.33,0.77,125,80.98,0.4,0
Jawa Tengah,32.47,127,25.45,58.44,0.679,137,31.33,0.16,0
Sulawesi Selatan,82.9,127,37.78,63.0,0.682,128,86.84,0.43,0
Jawa Timur,128.55,122,25.65,65.89,0.656,101,105.74,0.53,0
Bali,74.34,115,32.63,56.79,0.462,116,59.05,0.3,0
Sumatera Utara,19.76,143,36.73,76.28,0.928,148,15.07,0.08,0
Sumatera Selatan,16.85,130,41.72,66.72,0.643,139,15.11,0.08,0
Riau,63.57,133,38.81,79.78,0.882,133,61.41,0.31,0
Riau,45.55,122,38.28,68.03,0.958,101,33.85,0.17,0
Riau,102.97,135,22.06,55.7,0.851,138,89.39,0.45,0
Sumatera Selatan,147.09,128,39.66,92.76,0.81,127,150.85,0.75,0
Sumatera Selatan,143.71,133,41.61,74.97,0.887,124,67.93,0.34,0
Jawa Barat,41.33,139,43.27,65.77,0.915,142,32.38,0.16,0
Bali,234.7,140,26.37,50.8,0.942,134,104.16,0.52,1
Sumatera Utara,367.56,130,45.99,79.29,0.859,140,251.11,1.26,1
Jawa Timur,152.3,128,19.19,88.34,0.948,138,132.81,0.66,0
Sumatera Utara,129.71,131,29.83,81.85,0.784,113,83.95,0.42,0
Sulawesi Selatan,42.07,145,31.69,88.6,0.506,135,19.56,0.1,1
Bali,14.21,134,19.85,57.59,0.612,115,13.35,0.07,0
Bali,211.91,145,31.51,97.61,0.884,130,118.37,0.59,1
Banten,396.53,127,37.66,60.36,0.774,110,288.09,1.44,1
Sumatera Selatan,461.31,159,13.09,63.07,0.864,151,229.44,1.15,1
Jawa Timur,18.1,135,30.26,75.1,0.203,108,18.88,0.09,0
Riau,176.76,137,14.02,50.25,0.908,142,114.67,0.57,0
Riau,104.34,140,59.5,71.68,0.605,118,97.47,0.49,0
Jawa Tengah,12.91,135,37.55,59.59,0.884,119,8.39,0.04,0
Jawa Tengah,86.08,138,36.51,86.7,0.651,117,53.99,0.27,0
DKI Jakarta,52.26,136,37.78,87.13,0.488,123,29.08,0.15,0
Jawa Barat,121.68,119,42.25,80.17,0.621,97,80.67,0.4,0
Banten,178.07,155,46.74,70.66,0.654,163,172.54,0.86,0
Banten,120.53,138,16.24,65.2,0.709,127,100.05,0.5,0
Jawa Barat,151.59,139,50.72,90.55,0.61,149,65.87,0.33,1
Banten,146.16,130,49.95,74.85,0.919,105,109.87,0.55,0
Riau,10.18,116,34.2,74.33,0.779,98,7.36,0.04,0
Jawa Tengah,518.73,127,33.58,55.56,0.667,133,439.11,2.2,1
Jawa Timur,243.83,150,5.0,60.7,0.434,140,217.24,1.09,1
Jawa Timur,14.34,116,20.07,67.66,0.696,94,11.01,0.06,0
Sumatera Utara,47.73,129,41.23,84.24,0.401,105,46.27,0.23,0
Jawa Timur,49.76,146,49.41,91.42,0.361,155,40.67,0.2,0
Sumatera Selatan,27.6,134,43.75,98.65,0.947,117,17.1,0.09,0
Jawa Timur,21.83,129,34.09,70.94,0.78,119,14.07,0.07,0
Banten,113.76,117,58.11,72.21,0.62,125,108.99,0.54,0
Jawa Timur,27.4,125,47.06,87.54,0.899,125,15.59,0.08,0
Jawa Barat,220.83,138,30.27,65.74,0.779,142,108.79,0.54,1
Riau,114.41,132,61.19,76.49,0.494,124,101.71,0.51,0
Jawa Tengah,47.91,115,21.85,83.17,0.885,115,32.48,0.16,0
Jawa Tengah,205.77,135,17.34,61.58,0.418,131,112.62,0.56,0
Sumatera Selatan,179.4,137,29.95,63.7,0.623,116,168.5,0.84,0
Sulawesi Selatan,439.13,125,25.9,67.45,0.628,121,228.45,1.14,1
Riau,35.96,124,30.62,78.31,0.769,133,31.5,0.16,0
Sulawesi Selatan,31.98,119,44.58,63.25,0.702,107,19.86,0.1,0
Bali,34.1,123,34.59,60.2,0.331,116,29.43,0.15,1
Banten,76.42,132,34.9,57.33,0.904,122,68.96,0.34,0
Sumatera Selatan,286.15,161,35.71,89.66,0.626,162,143.71,0.72,1
Jawa Timur,487.3,127,7.25,93.41,0.736,125,456.18,2.28,0
Banten,145.77,145,16.82,94.33,0.874,136,116.9,0.58,0
Sumatera Utara,260.41,129,30.38,90.26,0.782,105,249.57,1.25,0
Sulawesi Selatan,634.87,128,24.88,56.73,0.652,112,266.92,1.33,1
Bali,14.75,116,32.22,54.79,0.949,103,13.16,0.07,0
Banten,371.22,126,51.85,74.46,0.511,128,386.38,1.93,0
Riau,66.64,138,34.11,75.55,0.414,126,57.1,0.29,1
Jawa Tengah,11.65,141,19.13,85.91,0.637,128,11.61,0.06,0
Bali,84.71,128,25.48,60.92,0.799,119,56.72,0.28,0
Sumatera Utara,438.81,142,55.53,95.62,0.816,132,375.64,1.88,0
Sumatera Utara,88.03,150,53.39,65.19,0.915,152,67.67,0.34,0
Sumatera Selatan,116.35,126,42.15,78.31,0.758,126,71.89,0.36,0
Riau,50.98,138,16.25,92.35,0.852,141,41.04,0.21,0
DKI Jakarta,10.55,161,38.68,75.65,0.744,138,6.7,0.03,0
Jawa Tengah,368.42,132,39.6,86.92,0.559,134,374.71,1.87,0
Jawa Barat,138.66,124,35.31,86.7,0.724,110,127.35,0.64,0
Sumatera Selatan,20.39,135,28.16,88.71,0.261,108,19.7,0.1,0
DKI Jakarta,159.48,128,30.65,89.74,0.74,126,129.69,0.65,0
Jawa Tengah,50.86,144,27.32,69.23,0.638,115,48.13,0.24,0
Sumatera Utara,18.63,127,21.26,67.81,0.486,105,11.9,0.06,1
Riau,79.94,142,51.39,89.37,0.773,115,66.35,0.33,0
Sumatera Utara,275.13,122,45.59,78.41,0.512,119,169.74,0.85,1
Bali,323.32,149,31.58,79.78,0.822,128,254.26,1.27,0
Sulawesi Selatan,195.9,130,39.23,70.18,0.278,135,87.46,0.44,1
Jawa Barat,166.49,116,39.68,59.88,0.797,105,152.31,0.76,0
Sulawesi Selatan,48.57,145,63.11,72.39,0.561,130,32.74,0.16,1
Riau,33.72,139,45.47,97.51,0.835,132,35.05,0.18,0
Riau,261.43,146,45.02,64.25,0.802,150,250.42,1.25,0
DKI Jakarta,78.0,136,35.46,63.33,0.685,137,62.35,0.31,0
Riau,404.11,106,29.79,56.41,0.644,91,231.48,1.16,1
Sumatera Selatan,130.3,120,51.59,73.58,0.644,123,105.47,0.53,0
Sumatera Utara,201.28,134,42.83,64.14,0.668,127,179.51,0.9,0
DKI Jakarta,166.1,113,25.05,83.67,0.417,123,117.42,0.59,0
Sumatera Utara,107.51,146,40.45,56.62,0.7,139,84.41,0.42,0
Sulawesi Selatan,11.73,113,45.05,62.12,0.732,100,11.38,0.06,0
Sumatera Selatan,31.33,128,9.85,53.03,0.475,131,15.33,0.08,1
Jawa Barat,44.94,153,23.93,52.03,0.521,123,32.56,0.16,0
Sulawesi Selatan,20.8,115,39.35,89.89,0.692,116,20.03,0.1,0
Sulawesi Selatan,30.4,128,11.91,94.39,0.727,123,19.89,0.1,1
Jawa Barat,131.33,134,13.81,87.43,0.586,114,128.0,0.64,0
Bali,145.52,131,31.75,92.39,0.685,105,111.0,0.56,1
Banten,194.26,152,40.9,54.24,0.857,123,128.38,0.64,0
Sumatera Utara,40.43,137,41.45,94.01,0.57,112,42.23,0.21,0
Banten,245.2,134,53.99,72.84,0.832,126,123.88,0.62,1
Sumatera Selatan,44.8,134,35.99,87.66,0.912,135,28.03,0.14,0
Sulawesi Selatan,13.11,154,30.53,80.17,0.4,129,7.12,0.04,1
Sumatera Selatan,84.06,127,19.31,67.14,0.907,107,87.34,0.44,0
Sulawesi Selatan,40.11,115,30.38,62.98,0.654,120,19.96,0.1,1
Sulawesi Selatan,143.9,125,43.49,55.79,0.859,108,68.72,0.34,0
DKI Jakarta,391.77,138,44.03,70.22,0.517,144,223.92,1.12,1
Jawa Tengah,96.08,133,38.18,74.21,0.56,110,76.44,0.38,0
Sumatera Selatan,382.35,110,41.57,98.17,0.782,115,218.74,1.09,1
Sumatera Utara,79.89,135,50.32,51.83,0.924,137,48.95,0.24,0
DKI Jakarta,14.01,106,35.9,78.92,0.774,89,10.47,0.05,0
DKI Jakarta,368.84,136,51.41,75.72,0.545,122,300.04,1.5,1
Sumatera Utara,105.58,144,26.28,51.12,0.739,129,82.02,0.41,0
Riau,300.32,133,34.12,66.16,0.956,111,240.17,1.2,0
Jawa Barat,45.26,126,29.23,70.72,0.708,115,37.84,0.19,0
Jawa Barat,128.51,121,44.51,74.22,0.779,121,124.68,0.62,0
Jawa Barat,22.47,134,22.83,61.44,0.874,136,18.85,0.09,0
Sumatera Utara,149.61,144,31.14,51.67,0.541,123,129.95,0.65,0
DKI Jakarta,85.14,132,12.68,64.4,0.932,134,56.0,0.28,0
Sumatera Utara,256.29,140,42.13,90.98,0.571,123,259.89,1.3,0
Banten,150.44,137,49.96,89.59,0.393,111,139.21,0.7,0
Banten,156.78,112,45.93,58.86,0.734,96,122.1,0.61,0
Riau,76.92,130,44.75,81.67,0.794,117,53.19,0.27,0
Sumatera Utara,168.33,132,45.07,95.26,0.814,107,69.4,0.35,1
Sumatera Selatan,215.26,124,43.4,58.43,0.95,102,224.13,1.12,0
Sumatera Selatan,121.67,143,42.37,56.31,0.887,129,59.86,0.3,0
Sulawesi Selatan,274.63,114,43.15,51.09,0.864,122,200.73,1.0,0
Sumatera Selatan,49.44,120,27.13,58.45,0.826,118,30.76,0.15,0
Sumatera Utara,113.49,120,32.6,89.88,0.545,129,69.45,0.35,1
Banten,155.15,129,35.84,89.89,0.604,104,104.36,0.52,0
Jawa Tengah,74.28,152,30.97,76.48,0.809,161,57.35,0.29,1
Sumatera Utara,43.46,132,16.2,66.34,0.973,110,17.67,0.09,1
Jawa Barat,25.08,143,20.18,89.53,0.475,124,12.54,0.06,1
Sulawesi Selatan,140.6,145,37.76,59.56,0.772,120,112.28,0.56,0
Bali,51.18,122,45.87,56.85,0.562,112,45.06,0.23,0
Jawa Barat,19.5,137,35.11,54.37,0.727,117,16.36,0.08,0
Sumatera Selatan,134.36,146,68.18,91.71,0.463,149,140.29,0.7,0
Jawa Barat,26.49,137,23.96,85.03,0.838,140,11.42,0.06,0
Sumatera Selatan,321.72,137,40.34,80.6,0.805,121,236.43,1.18,0
DKI Jakarta,22.65,131,50.49,85.65,0.752,136,15.22,0.08,0
Banten,214.02,135,47.79,57.03,0.707,114,113.28,0.57,1
Riau,159.21,117,42.86,68.85,0.743,95,155.84,0.78,0
Sumatera Selatan,17.71,137,47.84,89.89,0.857,116,8.74,0.04,0
Banten,75.23,127,35.66,94.92,0.922,110,54.77,0.27,0
Sulawesi Selatan,263.81,134,54.95,75.14,0.653,109,138.47,0.69,0
Sumatera Selatan,34.47,140,50.4,55.98,0.469,116,23.57,0.12,0
